ID,Description,n,setSize,percent,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,core_enrichment
GO:0002250,adaptive immune response,137,446,30.717488789237667,0.6109288822500071,2.4053190557494015,1.1234847520400074e-8,6.745402451248205e-5,5.9142602578442924e-5,2403,Gzmb/H2-Q7/Ccr2/H2-Q6/Fcgr3/Rnf125/Ighv1-15/Rc3h2/Ighv1-5/Ppp3cb/Ighv5-9/Jak2/Il12rb1/Havcr2/Ctla4/Fyn/Nedd4/Fcgr2b/Fbxo38/B2m/Clec4d/Adam17/Mad2l2/C1s1/Prkd2/Samsn1/Swap70/Tec/Kmt5b/H2-Q4/Cd40/C1ra/Lyn/Tap2/C1qc/Ighv1-58/Cx3cr1/Il27ra/H2-T23/Zbtb1/Adgre1/Malt1/Nckap1l/H2-T10/Cd84/Irf1/Ighv10-3/Clec4n/Cd274/C1qa/Rnf19b/Tnfaip3/Slc11a1/Tnfsf13b/Trbc1/Cyrib/C1qb/Cd3g/Ighv2-6/H2-DMb1/Ptprc/C3ar1/Pirb/Il18rap/Sh2d1b1/Otud5/H2-T22/Cd86/Pkn1/Clec4a2/Lilrb4a/Klrk1/Paxip1/H2-DMa/H2-D1/Unc93b1/Cfh/Fcgr1/Ptk2b/Ptpn6/Anxa1/Fcer1a/Pik3cd/Was/Fas/H2-Ab1/Lag3/Stat6/Trdc/Rftn1/Traf6/Fcer1g/Ctsc/H2-Eb1/Vsir/Spn/Cd3d/Serpinb9/Tcirg1/Crlf2/H2-K1/Tap1/Cd74/Trem1/C1rl/H2-Aa/Arg1/Itk/Il4i1/Cd8a/Sash3/Serping1/Bcl6/Txk/Card9/P2rx7/Prdm1/C2/Il18bp/Stx7/Rc3h1/Skap1/Hmces/Il7r/Tnf/H2-M3/Syk/Unc13d/Il18r1/C4bp/Cd55/Ctsh/Ighv5-4/Ighv1-26/Gimap3/Klhl6/Ighv5-16
GO:0002443,leukocyte mediated immunity,122,408,29.901960784313726,0.6172457762724123,2.421498320401168,5.131423071584919e-8,1.5404532060897926e-4,1.3506445674208516e-4,2285,Gzmb/Rasgrp1/H2-Q7/Ccr2/H2-Q6/Arrb2/Fcgr3/Ighv1-15/Ighv1-5/Itgam/Ppp3cb/Ighv5-9/Havcr2/Snap23/Fcgr2b/Fbxo38/Gab2/B2m/Mad2l2/Vav1/C1s1/Swap70/Pdpk1/Ncf1/Kmt5b/H2-Q4/Cd40/C1ra/Tlr2/Lyn/Tap2/C1qc/Ighv1-58/Cx3cr1/Il27ra/H2-T23/Zbtb1/Malt1/Nckap1l/H2-T10/Cd84/Ighv10-3/C1qa/Dhx36/Myo1f/Fer/Rnf19b/Slc11a1/Trbc1/Crk/Cyrib/C1qb/Ighv2-6/H2-DMb1/Ptprc/Pirb/Il18rap/Sh2d1b1/H2-T22/Lilrb4a/Klrk1/Paxip1/H2-DMa/H2-D1/Cfh/Bcr/Fcgr1/Ptpn6/Stat5b/Fcer1a/Was/Fas/H2-Ab1/Lag3/Cd300a/Stat6/Trdc/Rftn1/Traf6/Fcer1g/Ctsc/H2-Eb1/Vsir/Spn/Serpinb9/Tcirg1/Crlf2/H2-K1/Itgb2/Tap1/Cd74/Trem1/Ptafr/C1rl/H2-Aa/Arg1/Il4i1/Cd8a/Sash3/Serping1/Bcl6/Cxcl5/Card9/P2rx7/Kif5b/C2/Stx7/Spi1/Tlr4/Hmces/Il7r/Tnf/H2-M3/Syk/Tyrobp/Unc13d/Il18r1/C4bp/Cd55/Fgr/Ctsh/Ighv5-4
GO:0002449,lymphocyte mediated immunity,101,323,31.269349845201237,0.65328308412339,2.5195754023926837,1.0497848893876608e-7,2.100969491961172e-4,1.842096221693927e-4,2351,Gzmb/Rasgrp1/H2-Q7/Ccr2/H2-Q6/Arrb2/Fcgr3/Ighv1-15/Ighv1-5/Ppp3cb/Ighv5-9/Havcr2/Fcgr2b/Fbxo38/B2m/Mad2l2/Vav1/C1s1/Swap70/Kmt5b/H2-Q4/Cd40/C1ra/Tap2/C1qc/Ighv1-58/Il27ra/H2-T23/Zbtb1/Malt1/Nckap1l/H2-T10/Ighv10-3/C1qa/Rnf19b/Slc11a1/Trbc1/Crk/Cyrib/C1qb/Ighv2-6/H2-DMb1/Ptprc/Pirb/Il18rap/Sh2d1b1/H2-T22/Lilrb4a/Klrk1/Paxip1/H2-DMa/H2-D1/Cfh/Fcgr1/Ptpn6/Stat5b/Fcer1a/Was/Fas/H2-Ab1/Lag3/Stat6/Trdc/Rftn1/Traf6/Fcer1g/Ctsc/H2-Eb1/Vsir/Spn/Serpinb9/Tcirg1/Crlf2/H2-K1/Tap1/Cd74/C1rl/H2-Aa/Arg1/Il4i1/Cd8a/Sash3/Serping1/Bcl6/Card9/P2rx7/Kif5b/C2/Stx7/Hmces/Il7r/Tnf/H2-M3/Unc13d/Il18r1/C4bp/Cd55/Ctsh/Ighv5-4/Ighv1-26/Gimap3
GO:0050906,detection of stimulus involved in sensory perception,4,66,6.0606060606060606,0.8426252691744135,2.656287160184345,3.270862471886116e-7,4.652746778693808e-4,4.079453459140878e-4,327,Strc/Arrb2/Plcb2/Fyn
GO:0019835,cytolysis,1,14,7.142857142857142,0.9418847746879272,2.221815632046583,3.87470584501483e-7,4.652746778693808e-4,4.079453459140878e-4,2,Gzmb
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,106,348,30.45977011494253,0.6272158461755806,2.4484041186705263,7.026342779385378e-7,7.031027007904968e-4,6.164691270123909e-4,2403,Gzmb/H2-Q7/Ccr2/H2-Q6/Fcgr3/Ighv1-15/Rc3h2/Ighv1-5/Ppp3cb/Ighv5-9/Il12rb1/Havcr2/Fcgr2b/Fbxo38/B2m/Adam17/Mad2l2/C1s1/Swap70/Kmt5b/H2-Q4/Cd40/C1ra/Tap2/C1qc/Ighv1-58/Il27ra/H2-T23/Zbtb1/Malt1/Nckap1l/H2-T10/Irf1/Ighv10-3/Clec4n/Cd274/C1qa/Tnfaip3/Slc11a1/Tnfsf13b/Trbc1/Cyrib/C1qb/Ighv2-6/H2-DMb1/Ptprc/C3ar1/Pirb/Il18rap/Otud5/H2-T22/Pkn1/Lilrb4a/Paxip1/H2-DMa/H2-D1/Cfh/Fcgr1/Ptpn6/Anxa1/Fcer1a/Was/Fas/H2-Ab1/Stat6/Trdc/Rftn1/Traf6/Fcer1g/Ctsc/H2-Eb1/Vsir/Spn/Serpinb9/Tcirg1/Crlf2/H2-K1/Cd74/C1rl/H2-Aa/Arg1/Il4i1/Cd8a/Sash3/Serping1/Bcl6/Card9/P2rx7/C2/Il18bp/Stx7/Rc3h1/Hmces/Il7r/Tnf/H2-M3/Unc13d/Il18r1/C4bp/Cd55/Ctsh/Ighv5-4/Ighv1-26/Gimap3/Klhl6/Ighv5-16
GO:0009582,detection of abiotic stimulus,2,81,2.4691358024691357,0.8050888602632955,2.5760562027485805,1.0075844091309161e-6,8.642195417745743e-4,7.577337789569492e-4,35,Strc/Arrb2
GO:0006730,one-carbon metabolic process,2,34,5.88235294117647,-0.9933790147766736,-2.881120799492716,1.3529542045806484e-6,9.738201552069055e-4,8.538298320750613e-4,2,Fpgs/Car3
GO:0002093,auditory receptor cell morphogenesis,1,20,5,0.9176896575800634,2.3678195076436954,1.4597570614360676e-6,9.738201552069055e-4,8.538298320750613e-4,1,Strc
GO:0060117,auditory receptor cell development,3,26,11.538461538461538,0.8998564917576619,2.4167449615570398,2.290188152506376e-6,0.001375028966764828,0.0012056032579667777,342,Strc/Pafah1b1/Myo7a
GO:0042776,mitochondrial ATP synthesis coupled proton transport,13,15,86.66666666666667,-0.8795113634828604,-2.134342656492951,4.609849480825244e-6,0.0022796718459873575,0.0019987795683198526,1890,Dnajc30/Atpsckmt/Atp5c1/Atp5k/Atp5e/Atp5d/Antkmt/Atp5b/Atp5pb/Atp5o/Atp5j2/Atp5a1/Atp5h
GO:0010257,"NADH dehydrogenase complex assembly",37,49,75.51020408163265,-0.8509646672005673,-2.6173513400982484,5.253523620948211e-6,0.0022796718459873575,0.0019987795683198526,1665,Oxa1l/Ndufa8/Ndufs6/Ndufs4/Ndufc2/Ndufaf8/Ndufaf7/Ndufaf5/Ndufa1/Ndufs2/Ndufa3/Acad9/Nubpl/Ndufa9/Ndufs8/Ndufaf3/Ndufa10/Ndufs3/Ndufs5/Ndufb7/Ndufb11/Ndufa5/Ndufs7/Ndufb4/Ndufb10/Ndufb8/Ndufa11/Ndufb5/Ndufb3/Ndufa6/Ndufab1/Ndufa12/Ndufb6/Ndufa2/Ndufs1/Ndufb9/Ndufb2
GO:0032981,mitochondrial respiratory chain complex I assembly,37,49,75.51020408163265,-0.8509646672005673,-2.6173513400982484,5.253523620948211e-6,0.0022796718459873575,0.0019987795683198526,1665,Oxa1l/Ndufa8/Ndufs6/Ndufs4/Ndufc2/Ndufaf8/Ndufaf7/Ndufaf5/Ndufa1/Ndufs2/Ndufa3/Acad9/Nubpl/Ndufa9/Ndufs8/Ndufaf3/Ndufa10/Ndufs3/Ndufs5/Ndufb7/Ndufb11/Ndufa5/Ndufs7/Ndufb4/Ndufb10/Ndufb8/Ndufa11/Ndufb5/Ndufb3/Ndufa6/Ndufab1/Ndufa12/Ndufb6/Ndufa2/Ndufs1/Ndufb9/Ndufb2
GO:0050982,detection of mechanical stimulus,1,43,2.3255813953488373,0.863592434553253,2.6024742429962613,5.315690513628082e-6,0.0022796718459873575,0.0019987795683198526,1,Strc
GO:0001909,leukocyte mediated cytotoxicity,47,111,42.34234234234234,0.7566183299225585,2.562169186518765,5.703134988564026e-6,0.0022827748314225606,0.0020015002159865752,2273,Gzmb/Rasgrp1/H2-Q7/H2-Q6/Arrb2/Fcgr3/Itgam/Ppp3cb/Havcr2/B2m/Vav1/Ncf1/H2-Q4/Tap2/Cx3cr1/H2-T23/Nckap1l/H2-T10/Rnf19b/Crk/Cyrib/Ptprc/Il18rap/Sh2d1b1/H2-T22/Klrk1/H2-D1/Fcgr1/Ptpn6/Stat5b/Lag3/Ctsc/Serpinb9/H2-K1/Tap1/Trem1/Arg1/Cxcl5/P2rx7/Kif5b/Stx7/Spi1/Il7r/H2-M3/Tyrobp/Unc13d/Ctsh
GO:0015985,"energy coupled proton transport, down electrochemical gradient",17,19,89.47368421052632,-0.8852747884373557,-2.192307008420734,6.613229123672807e-6,0.0023356369210900904,0.002047848845045679,1890,Dnajc30/Atpsckmt/Atp5g2/Atp5c1/Atp5k/Atp5e/Atp5d/Antkmt/Atp5b/Atp5g3/Atp5pb/Atp5g1/Atp5o/Atp5j2/Atp5a1/Atp5h/Atp5l
GO:0015986,ATP synthesis coupled proton transport,17,19,89.47368421052632,-0.8852747884373557,-2.192307008420734,6.613229123672807e-6,0.0023356369210900904,0.002047848845045679,1890,Dnajc30/Atpsckmt/Atp5g2/Atp5c1/Atp5k/Atp5e/Atp5d/Antkmt/Atp5b/Atp5g3/Atp5pb/Atp5g1/Atp5o/Atp5j2/Atp5a1/Atp5h/Atp5l
GO:0017004,cytochrome complex assembly,23,32,71.875,-0.7911742353998248,-2.2613031584932917,7.32917880226589e-6,0.0024446883071558,0.002143463344452147,2672,Fastkd3/Coa4/Sco1/Cox10/Cox19/Hccs/1190007I07Rik/Cox14/Coa5/Oxa1l/Uqcc1/Uqcc3/Cox17/Coa3/Pet100/Surf1/Uqcc2/Sco2/Taco1/Smim20/Coa8/Cox15/Cox16
GO:0042773,ATP synthesis coupled electron transport,39,53,73.58490566037736,-0.8262613170983515,-2.572690211830791,8.649723937647494e-6,0.0025966471260817775,0.0022766983901144804,1806,Dguok/Ndufa8/Afg1l/Ndufs6/Coq9/Uqcc3/Dld/Ndufc2/Chchd2/Coq7/Cox5a/Sdhd/Ndufs2/Ndufv3/Cox6a1/Ndufs8/Ndufa10/Ndufs3/Ndufs7/Cox7c/Sdhc/Ndufb8/Uqcrh/Cyc1/Cox4i1/Dnajc15/Ndufv1/Ndufa12/Mtch2/Ndufv2/Ndufb6/Cox5b/Ndufs1/Uqcr10/Ndufa7/Uqcrc1/Uqcrb/Uqcrq/Ndufb9
